trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,35.96922037499826,36.97545741700014,36.981001084001036,down,1,0.8377110410001478,2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
1,0,1,0,37.97577354199893,38.86097883399998,38.97753937499874,down,1,1.40671833399756,1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
2,0,2,0,40.30542287500066,41.29488512500029,41.311034541999106,down,0,0.9651171249970503,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
3,0,3,0,42.277900000000955,43.27749908400074,43.27749908400074,down,1,1.0824441670010856,2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
4,0,4,0,44.377905583998654,45.3785710000011,45.3785710000011,up,1,0.787601584001095,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
5,0,5,0,46.19425708400013,47.19485925000117,47.19485925000117,down,1,0.9361227499975939,3,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
6,0,6,0,48.160843375000695,49.1615267499983,49.1615267499983,up,1,0.9567218749980384,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
7,0,7,0,50.14417237499947,51.14439437499823,51.14439437499823,up,1,0.9496034999974654,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
8,0,8,0,52.111352959000214,53.110874666999734,53.110874666999734,up,1,0.7502322079999431,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
9,0,9,0,53.87816333400042,54.878053625001485,54.878053625001485,up,0,1.0403327909989457,-3,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
10,0,10,0,55.944744000000355,56.94509745899995,56.94509745899995,down,0,1.4849394999982906,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
11,0,11,0,58.461326791999454,59.461511334000534,59.461511334000534,up,1,0.9819022500014398,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
12,0,12,0,60.46143716699953,61.461716958998295,61.461716958998295,up,1,1.2436928339993756,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
13,0,13,0,62.72810295900126,63.72837050000089,63.72837050000089,up,1,0.6824942079983884,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
14,0,14,0,64.42830333399979,65.42887770900052,65.42887770900052,up,1,1.0514163340012601,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
15,0,15,0,66.51175795900053,67.51138558399907,67.51138558399907,up,1,1.0106308750000608,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
16,0,16,0,68.54484450000018,69.54458287499801,69.54458287499801,up,0,0.5690076659993792,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
17,0,17,0,70.14442950000011,71.14621966699997,71.14621966699997,up,1,0.7474622500012629,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
18,0,18,0,71.91194099999848,72.91137195899864,72.91137195899864,up,1,0.5813586670010409,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
19,0,19,0,73.51200762499866,74.51234724999813,74.51234724999813,up,1,0.5090270000000601,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
20,0,20,0,75.04538379199948,76.04519270899982,76.04519270899982,up,1,0.46575358400150435,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
21,0,21,0,76.52895433400045,77.52885395900012,77.52885395900012,down,1,0.8011716250002792,-1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
22,0,22,0,78.3616797499999,79.36197537499902,79.36197537499902,up,1,1.2477058339973155,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
23,0,23,0,80.62892108400047,81.62881829199978,81.62881829199978,up,1,1.69876049999948,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
