1.4376 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
32.9981 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
33.6799 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe393c57580>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe33c833970>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
33.6803 	EXP 	window1: mouseVisible = True
33.6812 	EXP 	window1: mouseVisible = False
33.6812 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
33.6812 	EXP 	window1: recordFrameIntervals = False
33.8453 	EXP 	window1: recordFrameIntervals = True
34.0287 	EXP 	Screen (0) actual frame rate measured at 60.17Hz
34.0288 	EXP 	window1: recordFrameIntervals = False
35.9391 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
35.9458 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
35.9488 	EXP 	Created sequence: random, trialTypes=1, nReps=101, seed=None
35.9492 	EXP 	New trial (rep=0, index=0): None
35.9692 	EXP 	grating: ori = 2.0
35.9692 	EXP 	fixation: autoDraw = True
36.9755 	EXP 	grating: autoDraw = True
36.9755 	EXP 	grating: tex = 'sin'
36.9810 	EXP 	fixation: autoDraw = False
37.2775 	EXP 	grating: autoDraw = False
37.8538 	EXP 	New trial (rep=1, index=0): None
37.9709 	DATA 	Keypress: down
37.9758 	EXP 	fixation: autoDraw = False
37.9758 	EXP 	grating: autoDraw = False
37.9758 	EXP 	grating: ori = 1.0
37.9758 	EXP 	fixation: autoDraw = True
38.8610 	EXP 	grating: autoDraw = True
38.9775 	EXP 	fixation: autoDraw = False
39.1610 	EXP 	grating: autoDraw = False
40.2817 	EXP 	New trial (rep=2, index=0): None
40.3004 	DATA 	Keypress: down
40.3054 	EXP 	fixation: autoDraw = False
40.3054 	EXP 	grating: autoDraw = False
40.3054 	EXP 	grating: ori = 0.0
40.3054 	EXP 	fixation: autoDraw = True
41.2949 	EXP 	grating: autoDraw = True
41.3110 	EXP 	fixation: autoDraw = False
41.5947 	EXP 	grating: autoDraw = False
42.2660 	EXP 	New trial (rep=3, index=0): None
42.2689 	DATA 	Keypress: down
42.2779 	EXP 	fixation: autoDraw = False
42.2779 	EXP 	grating: autoDraw = False
42.2779 	EXP 	grating: ori = 2.0
42.2779 	EXP 	fixation: autoDraw = True
43.2775 	EXP 	fixation: autoDraw = False
43.2775 	EXP 	grating: autoDraw = True
43.5784 	EXP 	grating: autoDraw = False
44.3663 	EXP 	New trial (rep=4, index=0): None
44.3691 	DATA 	Keypress: down
44.3779 	EXP 	fixation: autoDraw = False
44.3779 	EXP 	grating: autoDraw = False
44.3779 	EXP 	grating: ori = 0.0
44.3779 	EXP 	fixation: autoDraw = True
45.3786 	EXP 	fixation: autoDraw = False
45.3786 	EXP 	grating: autoDraw = True
45.6950 	EXP 	grating: autoDraw = False
46.1820 	EXP 	New trial (rep=5, index=0): None
46.1848 	DATA 	Keypress: up
46.1943 	EXP 	fixation: autoDraw = False
46.1943 	EXP 	grating: autoDraw = False
46.1943 	EXP 	grating: ori = 3.0
46.1943 	EXP 	fixation: autoDraw = True
47.1949 	EXP 	fixation: autoDraw = False
47.1949 	EXP 	grating: autoDraw = True
47.4950 	EXP 	grating: autoDraw = False
48.1490 	EXP 	New trial (rep=6, index=0): None
48.1518 	DATA 	Keypress: down
48.1608 	EXP 	fixation: autoDraw = False
48.1608 	EXP 	grating: autoDraw = False
48.1608 	EXP 	grating: ori = 0.0
48.1608 	EXP 	fixation: autoDraw = True
49.1615 	EXP 	fixation: autoDraw = False
49.1615 	EXP 	grating: autoDraw = True
49.4612 	EXP 	grating: autoDraw = False
50.1323 	EXP 	New trial (rep=7, index=0): None
50.1350 	DATA 	Keypress: up
50.1442 	EXP 	fixation: autoDraw = False
50.1442 	EXP 	grating: autoDraw = False
50.1442 	EXP 	grating: ori = 0.0
50.1442 	EXP 	fixation: autoDraw = True
51.1444 	EXP 	fixation: autoDraw = False
51.1444 	EXP 	grating: autoDraw = True
51.4444 	EXP 	grating: autoDraw = False
52.0987 	EXP 	New trial (rep=8, index=0): None
52.1016 	DATA 	Keypress: up
